3 Months,6 Months,9 Months,12 Months,15 Months,18 Months,21 Months,24 Months,27 Months,30 Months,33 Months,36 Months,39 Months,42 Months,45 Months,48 Months,51 Months,54 Months,57 Months,60 Months,63 Months,66 Months,69 Months,72 Months,75 Months,78 Months,81 Months,84 Months
yeah.,I think I'm going to do that now.,the big dog.,can you tell me about a baby lion.,yeah it's your favorite.,wow.,the dog's name is.,that's a cat.,oh.,that's a horse.,no that's a train.,that car doesn't run.,that's what you said.,we'll put it in the box.,okay.,look at this one.,okay.,oh a car.,what did we do on the car today.,that's a good idea.,that's right.,okay.,can you put your hands together.,a house is something you build.,okay.,you don't need the toy to play with.,they're going to the park.,we're going to go to Grandma's and Grandpa's.
oh that's a cat.,you see a door and a window and a staircase.,wow.,look at the pig.,let's put a blanket on the chair.,that's a bird.,he's a baby.,that's a cat.,yeah they're the same.,what kind of animals are they.,that's a car.,you know what they say.,oh.,you can have some fun with this.,are these toys the ones that you're gonna take to school.,I'm gonna play with the truck.,it was nice.,well see the car.,okay.,what about the turtle.,I can see you got some butter in your hair.,yes.,that's what we call the little spoon.,you can't do that.,it has a red neck.,okay.,you got a dog.,can I take out the trash.
hey.,this is a house.,here's a dog.,where's the baby elephant.,oh hey.,here's a bird.,oh there's a dog over there.,that's a cat.,well they're not here.,they're pigs.,are you going to play with these.,they're.,you can eat it and make it into a pencil.,that's a lamb.,there's one.,right.,I'm gonna give you a treat.,they don't need the car.,and what's that thing called that goes on the car.,and that's a sheep.,well that's right.,yeah.,it's a banana.,oh.,you could put a little bird in your hair.,you wanna play with the trucks.,yeah.,oh.
there's a cat.,hi.,okay.,baby.,oh they're my grandparents.,oh.,this is the dog's bed.,can I take it to the vet.,oh.,they're a bit of a mess.,oh that's a good idea.,look at the wheels.,see the cows.,yeah.,I'm gonna play with this one.,and he's a little man.,you can't go to the zoo with me today.,it's a little scary.,you know how to drive a car.,what's the name of this one.,okay.,and when you're with your parents.,there's a cake and it's a red velvet cake.,I'll put a piece of paper under it.,I saw a bird.,okay.,that's a big dog.,I thought you were going to give the dog some treats.
you're having trouble with the kitty.,there's a bird.,go away dog.,you're a little duck.,yes you can.,yeah.,where's the dog.,this is a cat.,and it's got a lot of windows.,what does the dog say.,you wanna play with the dinosaurs.,yes.,and you get a pig.,yeah.,and they're so pretty.,oh I thought you were playing with the doll.,do you want me to put it in the refrigerator.,okay.,that's right.,we can get a puppy.,we can do that.,yeah and I'm gonna sit on your feet.,it's not too hard to do.,oh.,you know what that is.,I can't get this one open.,okay.,yeah we're supposed to go to the movies.
go fast.,and a cake.,look at that car.,this is a ball.,and then it goes and it says paw.,yeah you can see it.,where's the dog.,come here.,oh you're just a baby.,you don't want to do that.,where's the baby in the house.,what's that?,oh what's that.,okay.,what's that.,and a cat.,okay mommy says it's time to go home.,what's that.,well you know what we're going to do now is we're going to clean up the house.,oh that's right.,here's a car.,there's a nice lady named Mrs. Lee.,a car.,and then the cat came back in and the bear went to sleep.,do you see that cat.,we'll put a little water in there.,do you want to see the house of my house.,yeah.
car.,you know what we're going to do today we're going to go to the park.,wow.,can you find it.,there's a cat.,oh what's that.,come on.,that's the cat.,no she's not.,oh what a lovely kitty.,you know what's a good one.,and it's my mother's birthday today.,what are these called.,and you can put it on the car and then you can go.,where's the elephant.,and the mama duck and the little ducklings.,Mommy's working on the car right now.,oh it's very pretty.,you're in the kitchen.,there's some lettuce there.,you know what I mean.,okay.,he's going to make a car out of this.,they're so adorable aren't they.,you know that cat.,I'm going to make some soup.,okay.,do you see the cat.
what is that.,it's the dog that's gonna bark.,oh.,yeah.,wanna see.,car.,oh we have a dog.,look at that.,oh yeah.,what's that.,there's another toy in there.,that's a nice dog.,wow.,car.,it's a bunny.,oh oh the tiger is here.,oh.,do you see the house and the dog and the kitty and the birds.,whoops.,a hamburger and a burger.,what's that.,okay we have to throw it out.,well that's it.,it's got a long tail.,this cat's called Kitty.,that's so good.,there's one.,"oh no, oh no."
we're going to see the car.,yeah.,and then you put it in the car.,oh.,here.,see the little tires.,doggie.,there's a big cat and a small cat.,that's right.,they're playing with each other.,okay.,yeah.,hey.,can you see the truck.,yeah.,oh.,who are those people.,what's the room called.,you're looking for something.,do you want some cheese.,are those two toys.,and we have a lot of food in the freezer.,oh.,he's a kitty.,what's that.,and what do you think it is.,so here we have a house.,oh what's this.
it's a car.,right.,hey.,and a pony.,the cat came out.,go ahead.,yeah.,look at the cat's tail.,I'll put it on there for you.,oh it's a cat.,wanna play with the cars.,who's gonna get us on a bus and who's gonna get us on a train.,this is your bed.,a car.,it's a tiger.,you have the little guy.,you think she's gonna tell you.,okay.,so the wallpaper is all the way around the house.,I think that's a banana.,I think you're going to like this one.,that's right.,wanna see the car.,oh I'm not sure but maybe we can just sit right here.,and there's the cat.,you know.,that's a bathroom.,you wanna draw a cat.
I got a car in the garage.,Daddy and I.,we're going to drive the car.,okay.,there's a cat in the house.,put the car away.,that's a dog.,a cat.,you're gonna be a big brother.,you're gonna get a cat.,that's the one.,I don't know why you think that.,it's okay.,car.,that's a baby.,okay.,we had some people over for dinner.,oh.,yeah.,okay.,okay.,you eat it.,and then they go down and it's a big roller coaster.,and then we'll get the cat ready to play with.,I'm going to see if there's a cat outside.,we'll be drinking milk.,it's the house that Jack built.,and then it'll go on a mission and it's going to go on a mission to find some cat food.
and it's gonna go.,you got a family too.,oh look at the car.,I'll put the blocks in the box.,and here comes the cat.,okay.,he has a long nose and a big mouth.,oh what's this.,okay.,where's your cat.,okay.,I'm sorry.,we're going to the store to buy some new things to put in the house.,I don't know if I can do it.,oh that's an ant.,that's right that's right.,oh.,I'll go in there.,well we're going to go down the hallway and then into the bathroom.,no we don't have any more cookies.,there's something over here.,you put the cheese on.,that's a car.,see what you did.,oh no.,what are you drinking.,let's look at your house.,oh my goodness that's so funny.
see the car.,yeah.,go in the car.,what's this.,go.,we can go back there now.,oh.,and that's a cat.,yeah.,come on.,look at all these toys.,you can play with her.,there's a little boy and a little girl.,you're gonna get a little sunburn.,you're very good.,this is a kitty kitty.,you're my big brother.,you can put that on the shelf.,you know when we're talking about the house.,okay.,it's called.,no.,okay let's try this one.,that's right.,there's a cat on the windowsill.,yeah we have some green grapes too.,oh.,what kind of cat is this.
oh yeah.,there's the whole family.,wow.,what's this.,and a cat.,come on car.,you're going to be a good big dog.,he's gonna go down the slide.,you can't take your baby out.,let's have a cat in our dollhouse.,here we go.,yeah.,okay.,can you see the car over there.,you know what he's going to eat.,do you like the giraffe.,that's right.,this is the front door.,I don't think we should go downstairs.,oh it's a chicken.,and then you put the toy car in the box and you put the toy truck in the box.,okay you can take one of these bags and we can throw them away.,and then the next car came and then the car after that and then the car after that.,come on let's see what he's doing.,you want to play with the cat.,oh I'll tell you what you can make with it.,yeah that's your bedroom.,wow.
look at the car.,you're a big sister.,wow.,you can play with that.,oh look.,see car.,oh yes.,this is a cat.,did you know that daddy and mama have the same hair color?,and they have their own special names.,you don't have a cake.,okay.,yeah that's a nice house.,uh oh.,it's a horse.,they're called ducks.,and then we were like okay well we can do a nice little family.,oh you're at the house now.,and then the toilet paper.,let's make some chocolate chip cookies.,you got a purple one and a yellow one and a red one.,right there.,hey look at the car.,it's a cat.,what are those.,do you think the dog would like some milk.,you're right.,you know the kitty cat.
there's a car.,what's the other one.,see the car.,look at that.,it's a cat.,there's a car.,you can't tell them.,that's a cat.,what's that.,and then you'll have a cat.,I'm gonna get my big blue truck.,hey sweetie.,okay.,you like your car.,what did they do with them.,no we're not.,and we're going to see Daddy on Saturday.,that's a chair.,oh the door's not open.,you have to be very careful.,the pumpkin.,I'll be right back.,you got the car.,there's a cat that's a cat that's a cat that's a cat that's a cat that's a cat that's a cat.,he's a kitty kitty.,they're not very big.,he's getting dressed.,right.
that's right car.,oh that's Daddy.,that's a car.,what's this.,he's not a cat.,it goes.,wanna go to the zoo.,what's a cat.,yeah.,see the cat.,you know what you wanna play with.,I'm going to get the dog.,and then he just kind of fell asleep and went to sleep.,you know what it is.,can you say animal.,you know it's really nice and soft.,that's daddy's.,oh.,okay.,I think the baby was hungry.,can you put them all on the top shelf.,no we don't eat in the kitchen.,we're going to get in the car and go to the zoo.,oh that's a cute little kitty.,that's the cat's tail.,you know that's a piece of cake.,okay.,you've gotta go get the cat.
there goes the car.,see mommy.,look at this car.,he's looking at the truck.,oh look at the cat.,you can play with it.,look at this little puppy.,can you say cat.,where's mommy.,do you see the cat.,they're both playing with a doll.,do you wanna go in there?,yeah they're the right way.,that's a truck.,that's a fish.,the lions are sleeping.,yeah you're gonna get a car.,let's put them back where they came from.,what does this one say.,oh that's a nice one.,let's get some new toys for the kids.,yeah.,it's a car.,we're going to sit on the chair and we're going to look at the cat.,"see how it says, kitty kitty kitty.",okay.,you can't eat that.,oh there's a cat.
look at the car.,we're all together.,and the car goes.,oh that's a pretty truck.,what's the cat doing.,oh look at the car.,hey.,and he was a kitty cat.,you know I'm gonna see how you're going to go to bed.,what's that.,here it is.,no.,he's not very tall but he's very strong.,what's that car.,you're a monkey.,where did we see them.,you know who's my favorite family member.,it's got a blue roof.,okay.,that's good.,you know what he's doing.,what do you do with your pencils.,and the car goes down the road and it's a good car.,right.,oh look at that.,oh.,okay.,they were scared of him.
we're gonna go for a ride in the car.,okay.,it's a car.,I love your hair.,come here.,we're gonna get you a toy car.,there's a dog there.,that's a kitty.,they're not right now.,a cat.,oh.,we're having a birthday party for your baby sister.,how about this.,you know I'm gonna go ahead and take out the front seat and we'll just drive around the parking lot a little bit and that's it.,what's that.,they like a nice treat.,so the family is having a party.,oh I'll be right back.,well if you want to sit down you can.,oh okay.,yeah.,we're going to have some dinner.,no.,what's that called.,here's a cat.,I think it's a pizza.,okay you know what's underneath the couch.,"it's not the cats, it's the dog."
oh what a great car.,that's Grandma.,I'm going to see if they're still at the car.,who's that.,look at the cat.,go to the back of the car.,that's a big brown dog.,he's a cute little kitty.,did you know you have a family.,what's this.,they're in the sandbox.,he has a brother and sister.,let's look at the house.,okay.,the lions are just like their dad.,what are these?,I'm going to put them in the dishwasher.,and you could go to the house and you could sit in the house and you could play games and you could read books and you could eat your food.,there.,you wanna eat some of that.,and the other one says huh.,we're gonna get some carrots.,the car has wheels and a steering wheel.,what kind of cat is it.,you're a cat.,no you can't.,okay.,you wanna go get it.
come here.,and then we go home and we have a bath.,"okay, we'll put it in the car.",ball.,you're gonna have to go and sit down.,look at the car.,and then the dogs jumped all over.,oh there's a cat.,and Daddy's in charge of the trucks.,and they're nice.,it's got a cute little face.,you're right.,well there's a stairway up to the bedroom.,he's a truck.,that's right.,so when she's ready to go on the road she has a little road with wheels that she can push down.,she's her sister.,there's the garage.,I washed the bed.,you're gonna get that.,what are you doing with the toys.,you're going to put the milk in the cup.,they're called bumper cars.,you know he loves that.,it's a cat.,you could try it.,I'm sorry.,that's what I told my mommy.
here comes the car.,yeah.,where's the car.,what's that.,do you see the cat.,okay.,do you want a new dog.,come on let's see.,and who's that.,a cat.,this is a dinosaur.,I think they're having a tea party.,that's where we live.,this is a bus.,that's a giraffe.,no.,I'm going to go see mommy.,and you're on the bed.,oh look at the blue table.,so there's some carrots in there.,right.,yes you can.,you gotta watch your back.,and then you put your fingers on the side of the box and you pull.,and what would you like to say to the cat.,it's a banana.,and the kitchen.,hey we have a cat.
here.,who's this.,that's a car.,this is a train.,you want to put the caterpillar in the hat.,that car.,wanna see the dog.,we'll see you tomorrow.,oh I got a bunch of crayons.,there's a cat.,you have a big box of toys.,that's right.,we're not in the house.,yes.,the cows.,and the baby kangaroo was born and the mommy kangaroo brought the baby kangaroo to her mommy kangaroo.,who is this?,we're gonna have a lot of fun.,where is the door.,I'll put the mashed potatoes in the bowl.,and then he got the big red ball.,oh what is it.,it's a cool car.,well I guess we could get some milk for it.,they're right next to each other.,you put it on your face.,and we'll be back in about two hours.,come on.
that's a car.,good girl.,yeah.,you can put the ring on the ring and on the doll and on the doll.,honey.,you wanna turn the key.,here's a big dog.,what's this.,you know the thing about the family.,you like the cat.,what's that.,you wanna go to the park.,let's turn on the light.,it's not a car.,I see.,so.,I have a friend's name.,that's your mommy's house.,do you see.,they're called pancakes.,and then it's time for dinner.,this one's got a hole in it.,okay you know what. I mean it's really not that hard. We're just gonna start from scratch. We're gonna start with a new set of wheels.,it's called Mister Mushroom.,and that's a cat.,okay.,I'm going to put it back in the box.,what's in the box.
we're going to play with the baby rabbit.,no it's not a cookie.,and a bird.,right there's a bunny.,you can't.,uhhuh.,bird.,and the house has got a porch and a porch swing.,and you're going to make them too.,birdie.,he's gonna eat you up.,you can use them all.,yeah that's a cow.,we got some more.,that's right.,that's a lot of dolls.,you wanna draw a bird.,oh you're just going to the store.,you wanna see.,do you see the little kitty.,you have a dog.,what's that.,see the wheels.,oh I guess that's the cat.,car.,oh I don't know who you are.,that's a bird.,a robin.
and we're gonna make it so the monkey can see the fish.,okay.,"no, no.",and she had the most amazing little baby.,what's that.,a bird.,there's a bird there.,I don't know.,oh that's the family picture that I got from my mom.,yeah.,a dog.,I think it's a purple one.,I'm going to look at the animals in the book.,do you wanna do some building with the blocks.,oh yeah.,see the red one.,they can fly over a mountain.,no it's not there.,it's a car.,that's a cat.,come on.,you can have a little bit of this.,that's a car.,okay.,well the car needs to be washed.,he's your uncle.,the duck is going to go for a swim.,that's a bird.
oh look at this.,look at the cheese and the ham.,little birdie.,that's a nice little rabbit.,oh you can't play with the cat.,there's a bird sitting on the branch.,look at that bird.,oh what's that.,that's right.,look at the bird.,that's a dog.,oh it's a toy box.,where's your little lamb.,no no.,he's got a big blue ball.,yeah.,they can fly.,I'll call them and they'll come to get you.,they're going to drive to the beach.,what's he doing.,that's a cute little dog.,it's a chicken.,wow you're a good driver.,come sit over here.,and there's a car.,my mommy and daddy.,oh that's just like the cow.,you wanna see the chickens.
that's right.,here's a yummy drink for you.,go bird.,can you say elephant.,you see the kitty.,oh what bird.,this is a robin.,and here's the washer and dryer.,okay.,wanna put on your cap.,do you know what's this one called?,that's right.,and then the chickens come home to roost.,yeah you're right.,and that's your piggy bank.,okay.,you know that's a sparrow.,I don't know.,no.,and the kitty is sleeping.,oh.,yeah I don't know about that.,right.,that's right.,I have the car.,okay.,and then we'll put the pigs in the pen.,that's a hawk.
you gotta go to the zoo.,and then we're going to make some cheese and we're going to put that on.,you know.,right.,cat.,bird.,okay.,it's a little bit.,I'm not sure.,wanna go get a bird.,yeah.,yeah that's right.,what's that.,that's a red one.,and the ball will fall off the stairs.,you know.,wow.,you're in a car right now.,no you're not a car.,there's a cat.,you know what he likes to eat.,it's got something in it.,okay.,and the cat had a ball.,a car.,who is the lady that looks like she's going to make you feel better.,I see it.,bird.
a kangaroo.,yes.,oh look a bird.,that's a horse.,there's a cat.,yeah.,what's that bird.,who's going to clean the house.,oh yeah.,see that bird.,can you say dog.,let's see what we can get with them.,it's not going to be a cow.,you like to play with your blocks.,what's that.,right.,we're going to make a bird.,it's a Toyota.,yeah.,well he's not gonna get wet.,let's see what's in this box.,you don't eat cereal with a fork.,and they go on four wheels.,it's got a tail.,there's a truck in the sky.,yeah I'm gonna take care of her.,it's a cat.,that's a turkey.
you're doing great.,you like that.,little birdie.,the little kitty cat.,what's that.,this is a bird.,there's a little bird in the nest.,oh there's a door.,oh yeah.,no.,so.,that's right.,oh.,oh okay.,we'll make a doll house.,you'll have a race to see which one goes the fastest.,what's that bird.,okay you can't put the car on the table.,there's one car.,it's a big cat.,oh my goodness.,where did you get those eggs.,oh yeah.,here you go.,"this car has a nice, low rumble.",that's right.,that's not a horse.,yeah there's a big bird.
he's a baby cow.,pee.,bird.,you're like a pig.,do you wanna see a cat.,oh a bird.,oh the ducks.,yeah.,you're right.,he's a little baby bird.,and the dog is a dog.,here.,okay so we're going to write down the name of the animal.,there's a toy truck.,where's the dinosaur.,and I'll do it again.,you know it's a little birdie.,what's this?,he wants to see if the car is all right.,and then he went to bed.,it's a dog.,what's the name of that.,yeah.,he's not gonna play with you.,car.,my mommy and daddy.,you know what I mean.,it's like a bird.
a kitten.,huh.,bird.,do you like the giraffe.,okay.,that's a bird.,there's a bird outside.,and we're gonna take it to the house.,who's that.,a bird.,he doesn't wanna be picked up.,yes.,what are they.,okay okay.,what's that.,you're going to put that in the box.,the bird is singing.,let's turn the steering wheel to the left.,you're going to get a car.,oh you don't have a cat.,so then you get your ball and throw it.,do you want some grapes.,yeah.,yeah it's a cat.,the car is going to the gas station.,what's that.,that's a dog.,see this.
oh they're so cute.,yeah.,look at those birds.,you have a bear.,there's a cat.,birdie.,a robin.,you gotta keep your toys organized.,she has a brother.,there's a little bird.,okay so you can look at the pictures of the animals and think of a name for them and then you can write it down and we can put it up on the fridge.,what kind of toy is that.,we need to find a place for that.,and a ball.,what's that.,you're gonna play with these too.,you want me to take off.,yeah.,and a big car.,the cat's eyes were bright.,do you know what a dog is.,do you want the spoon.,yeah it's a nice car.,oh look at that cat.,oh okay.,they were having a party.,you know what you say to a cow.,he's a dove.
there's a bird.,what's that.,wanna have some bird.,can you find a cow.,see.,what's that.,see the bird.,that's a good one.,let's go back to the house and get the pizza for dinner.,little bird.,we can look for a dog in the park.,you're not gonna play with it.,no it's not.,and what's in the basket.,okay.,can you show me the blocks.,you know what? it's a bird.,and it's just the wind that's blowing it all over the car.,oh and the car's not that far from the carpenter shop.,oh I remember I think.,it's a bull.,you know it's very hard to make a sandwich without a knife.,he's gonna go and he's gonna drive and he's gonna go to work.,I guess you just want to see what you can do with it.,yeah.,it was all a very nice thing to do.,see a little pig.,hey bird.
look at the little bird.,oh no.,a bird.,bunny bunny bunny.,there's a cat.,you know what a pigeon is.,uhhuh.,you're gonna go out to play with your toys.,and then we'll go to the zoo and see the monkeys and the giraffes.,oh the bird's so tiny.,you like the dogs.,yeah.,what's that one called.,you got a toy.,okay.,oh that's right.,yeah we can.,no.,there's a car.,she was wearing a fur coat.,oh it's not a real dog.,okay.,where did you see it?,you're making a new cat.,what's your name baby.,oh that's right.,you like puppies.,oh.
he's a little duck.,no.,hey bird.,where's the duck.,we're going to put this cat on the bed.,no bird.,we'll have to wait until it's a little bit bigger.,okay.,we can.,and this is a duck.,what's that.,and then we can take it off.,he's a big dog.,oh you're making a mess.,hey.,and a toy.,what's a bird.,he's got a new car.,well I'll put it back in the trunk.,and he was just looking for a place to lay his head.,okay.,this one's for you.,and it makes cars.,you like cats too.,wanna drive that car.,and you have a sibling.,and the lion.,hey bird.
yeah.,oh that's a good idea.,and birds.,oh what a big one.,you know you can pet her.,see that little blue bird.,that's a bird.,a bed.,you like to have lunch with Daddy.,that's a robin.,you're not gonna play with that are you.,you don't like those.,it's a chimp.,you know what we're gonna do.,okay.,can you show me where the trucks are.,it's a red robin.,oh look at that car.,yeah you can make the car go faster by putting a different kind of gas in it.,oh.,he's a big dog.,well we'll see.,that's a great car.,can you see the kitty.,well the car's the one that moves.,okay.,okay.,no you're not a bird.
the lions.,you wanna eat.,we're going to have a little birdie.,see the ducks in the water.,cats.,what bird is that.,you want to go get a bird.,oh this is your kitchen.,right.,you can't touch the birds.,there's a dog in the back.,oh.,oh.,oh it's okay.,can you give them to him.,I think the kids are taking their toys to the store.,oh yeah that's a turkey.,you're gonna get a car.,and they go fast.,well we're going to see what's going on with the cat.,I'm gonna put him down and then we'll put the turtle back in the water.,this one.,I'm sorry.,you know what that means.,and a car.,and he got a good laugh.,okay.,there's a bird.
and the little duckie.,that's a little bit of peanut butter.,wow.,what's that.,kitty.,that's a bird.,a robin.,oh this is the sink.,what's this?,that's a great bird.,oh no.,the big one is.,and they're so good for the baby animals.,okay.,what is this.,I have a cute pink bear.,what's that one bird called.,car's all set.,oh yeah.,yeah.,that's a puppy.,you can do it.,you go see them.,what did she do.,that's a nice car.,that's right.,what animal.,oh I think it's a duck.
goat.,you know what's good for your tummy.,hey look at that bird.,there's a tiger.,what's that.,look at the bird.,there's a bird.,what's that.,what's that.,there is a bird in that nest.,see the dog.,well I'm going to go get her.,and the animals and they're just running around in the snow and they're having a lot of fun.,and then put them away.,yeah they do look like that.,wanna see.,there's a bird sitting on the fence.,see how she's got four wheels on her.,oh.,that's a kitty.,what's this one called?,that's okay.,what kind of car is this.,oh yes.,and you can put all the stuff in the car.,who are you talking about.,and the duck is also the duck.,what bird do you think it is.
oh I know.,yeah.,I think it's a duck.,and here we're going to go see the zoo.,and then the cat comes out.,do you see the birdies.,and the bird says.,okay now where are we going.,what's that.,a bird.,there's a big dog and a little dog.,here's your bicycle.,where's your pet.,they're right here.,and then you put the box on the floor and then you put the toys in it.,oh this is one of your toys.,little birdies are very beautiful.,hey what did he do.,oh.,look at that cat.,what's the word for this little animal?,okay.,it's a car.,no.,"I'm sorry, I don't know.",it's nice.,this is a giraffe.,it's a robin.
and if you look at the screen.,yes that's right.,what's this?,what's this one.,yeah that's a cat.,that's a pigeon.,what's that.,come here.,did you see them.,what's that.,it's a black one.,I'm going to throw you in the toy box.,that's a nice blue and red dog.,that's a teddy bear.,can you show me your toys.,you know where the stuffed animal is.,the bird is flying.,what does it say on the car.,you wanna go outside and play with your car.,there's a kitty in the tree.,yeah.,no we have to take out the trash.,okay.,okay.,that's right.,and Mommy is a nurse.,oh.,this is a robin.
look at the animal.,you eat all of your food.,they look like birds.,he has a little hat.,you have to hold the cat so it doesn't get mad at you.,there's a bird in the tree.,little bird.,oh what's that.,who's that.,they're in the woods.,they're playing.,no.,it's a rabbit.,you want to play with the dollhouse.,they're all good.,hey hey.,the hawk is perched on the branch of the tree.,what's that.,let's go see them.,and then I'm going to take a bath.,the dogs.,I don't know.,no it's a car.,it's a nice picture.,you can drive the car.,you can use a hand mixer.,she's a baby goat.,a bird is a very small animal.
look at the dog.,oh here's the baby bear.,you can eat that.,that's a bird.,where's mummy.,hey bird.,wanna make some food.,we're gonna go to the store to get stuff to fix the house.,here's a little car.,do you want some.,that's the big ball.,and it's a pretty bird.,that's a big tiger.,and we're gonna go to the park.,oh what's that.,come on we're going to see the cat.,oh and then they had a big party and they all came to the party.,that's a duck.,she's got a big shelf and a bunch of books.,can you pass me the salt.,oh.,okay now we're going to put the dog in the house.,what.,this one is so cute.,that's right.,you like that one.,they are cute and they're funny.,yeah that's the house.
who's the dog.,what a big rabbit.,no.,and that's a bird.,we're a family.,yeah.,you're gonna eat the food.,the house.,there's a car.,what are they.,you know what you're gonna do with that.,see the bird.,we'll have a whole house full of dogs.,yes.,it's a duck.,you're gonna draw on the paper and make a cat.,and it makes a really big noise.,hey what's that?,can you give me the ball please.,yes.,they're pretty.,that's a dog.,you have to wait until he gets up.,you know what's funny about dogs.,that's right.,the bear is sleeping.,and that's the dog.,oh.
there's a dog in the house.,baa.,peas.,a bird.,yes.,that's a robin.,let me see what's in that.,well you know what I have.,that's right.,you're gonna have to eat all of it.,and you can make them all go.,you can feed them.,I don't see a giraffe.,okay.,that's a hawk.,that's right.,you see those spiders and a butterfly and the ladybug.,it's a black bird with a red belly.,that's your daddy's house.,and then you'll have the ice cream.,yeah.,this is a baby dog.,look at the tiger.,okay.,oh they're really loud.,and what about that one.,well it's a nice dog.,so we don't have a lot of time.
the dog's a little bit scared.,a puppy.,they're all gone.,there's a bird in the tree.,you're going to get in the car.,yeah.,that's a good one.,you're right.,that car is a red one.,you like peas.,and the one with the lady.,he said they're called pigeons.,I think the cows were in the field.,it's a house.,yeah that's a bird.,you know it's not a cat.,and they're not really birds.,the bird is on the branch.,we can't get in.,it's kind of like what you're eating right now.,and they're made out of a material called wool.,see the dog and the cat and the rabbit and the mouse.,I think we're gonna see a pony.,do you wanna put it on.,that's a duck.,oh no.,I'm going to sit down.,oh no.
it's a dog.,and she's a little monkey.,that's what they're made of.,it's a bird.,oh I see.,look at the birds.,look at the apple.,oh.,I'll be there in a minute.,that's what we do when we're cooking.,you know.,yeah.,no.,well that's really good.,a birdie.,it's a cat.,the kitty.,he's a sparrow.,where are you gonna put your dishes?,can you give me the knife?,it's a big house.,what's that dog doing.,he's in the hospital.,yeah.,that's a duck.,and they eat the leaves off the trees.,he's a little dog.,that's a bed.
wanna get it off.,do you see any lions.,cheese and crackers.,wanna put it in your hand.,who is that.,baby bird.,this is a sour pickle.,it's a house.,I see.,you want some cereal.,okay.,oh that's a pigeon.,see how they're digging.,okay.,you have a blue bird.,there's a little kitty cat.,oh wow.,that's a parrot.,you can't have a bath without your clothes on.,you can't put that in the blender.,did you ever see the carpet that was in there.,I love dogs.,the dog's not really a dog.,uhhuh.,you can draw a bird.,she says.,that's a dog.,it's so nice to have a house.
bark bark.,oh.,mashed potatoes.,you have a bird.,hey.,what bird is that.,no.,what's on that.,you wanna look at the car.,I'm gonna give you a cupcake.,what else do you have.,you're going to see if it's real.,what do they do with their arms.,I have to go and I'm just gonna stay in my room for a while.,he's a little birdie.,we have a cat and a dog.,yes.,the bird.,where are the keys.,yep.,did he do it.,oh.,do you think we'll see some more.,we're going to go.,that's right.,you know what.,what's that dog doing.,no no.
wanna go see the dog.,right.,you like it.,there's a bird on the telephone.,oh this is mommy and daddy.,look at the bird.,I'm gonna get you a bite.,they're going to build a house.,and there's the car.,that's what's in it.,okay.,this is a pigeon.,oh here's a cow.,that's not a toy.,that's a hawk.,I'm not sure what that is.,the elephant had a tiny little foot.,they're flying over the mountains.,and then we'll have a party with all the guests.,yeah.,it's called a room.,she's gonna go to the kennel.,look at that.,she said.,they're called peacocks.,oh we don't want to hurt them.,the dog.,you can have one cup and we'll put the rest in the refrigerator.
doggies.,okay.,here's some.,there's a bird outside.,Mommy has four brothers.,that's a chicken.,and then you eat it.,no you don't.,it's so hard.,that's right.,you got some.,a sparrow.,yeah they're babies.,oh you have a house.,oh wow they have very pretty feathers.,"we're gonna read this book called ""The Cat in the Hat"".",we're going to put the cake in the oven.,see a bird.,what.,right.,it's nice.,right.,okay now we're going to look at the animals.,this is a dog.,they're called what birds.,"he says, hi.",oh that's just like a little dog.,you're in your house.
wagging wagging wagging wagging wagging wagging wagging wagging wagging wagging wagging wagging wagging wagging wagging wagging wagging wagging wagging wagging wagging w,there's a bear.,cheese.,bird.,they're my parents.,what's that.,you can eat that.,they're.,car.,I'm just gonna give you a little bit of honey.,what's that one called.,it's called a chicken.,right.,we'll start at the top.,there's a bird.,let's see the cat.,and that's a lamb.,yeah.,do you remember that little red wagon that had to be pushed back and forth.,uhhuh.,you've got a house.,where's the dog.,wow.,you wanna see the dogs.,and then she flies away.,where's your cute little horse.,I see.,that's right.
woo.,you have a bear.,look at the fish.,wanna hear a bird.,can you see them.,what is this.,we're gonna have some tuna.,"okay, let's get you out of that house.",you want a car.,they eat.,this one is too big.,the baby bird has a yellow belly.,that's right. That's a puppy.,so they go in the fridge.,I'm gonna go down to the pond to get a picture of a duck.,hey.,what's he doing.,uh-huh.,what is that.,what's that called.,you need a ladder to get on the roof.,you got the little dog.,and that's a horse.,uh huh.,and the bird's wing.,okay.,what is that.,I think you're right.
here's a big brown dog.,bunny rabbit.,yep you wanna eat that.,we see a bird.,no.,bird.,they're not here.,oh there's your toys in the toy box.,you don't know what a car is.,here's some butter.,no it's a toy.,a bird.,yeah I'll give you some money.,we're going to the store.,do you know what it's called.,there's a cat.,can you put the milk back.,a bird.,there's a bed in the house.,you're a good eater.,wanna build a house.,there's a dog.,and you need to feed them.,oh you need to brush your hair.,what kind of bird is this.,it's a little bit of a puzzle piece.,oh.,no.
a dog.,where's the kitty.,yeah.,it's a bird.,okay.,look at the little duckie.,yes.,you go in.,a car.,what's that.,the dolls.,there's a bird in my house.,that's a big giraffe.,oh you're going to love that.,what's a bird.,you can get the cat.,there are all sorts of cats.,there was a bird.,no.,well maybe you can make some.,they're really good for cooking.,let's go see if he's here.,see the beavers.,they're so big.,you've got a bird book.,that's a rabbit.,oh my gosh.,yes.
